Address,USB0::0x2A8D::0x8601::MY59013886::0::INSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,DAQ973A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number:,MY59013886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware Version,A.03.03-01.00-02.01-00.02-02.00-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2026-06-18 17:56:37.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Time,2026-06-19 09:46:24.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Log Running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modules,4,Slot 0,SCD,Slot 1,DAQM901A,Slot 4,DAQ970A Computed Channels,Slot 10,Virtual Digitizer Channels,,,,,,,,,,,,,,,,,,,,
108,T_proc_out,DC Voltage,Auto,5.5,1,0.0006,True,SCAL,100,-40,°C,Off,0,0,None,1,None,,,,,,,,,,,,
109,Phi_proc_out,DC Voltage,Auto,5.5,1,0.0005,True,SCAL,100,0,,Off,0,0,None,1,None,,,,,,,,,,,,
111,,DC Voltage,Auto,5.5,1,0.0005,False,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,
112,T_reg_out,DC Voltage,Auto,5.5,1,0.0006,True,SCAL,100,-40,°C,Off,0,0,None,1,None,,,,,,,,,,,,
113,Phi_reg_out,DC Voltage,Auto,5.5,1,0.0006,True,SCAL,100,0,,Off,0,0,None,1,None,,,,,,,,,,,,
121,V_dot_III,DC Current,Auto,5.5,1,0,True,SCAL,25,-0.1,,Off,0,0,None,1,None,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relay Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAQ973A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,
Odometer,66209,49764,33625,49627,66184,,,,,,,,,,,,,,,,,,,,,,,,
SCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odometer,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAQM901A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,193,194,195,196,197,198,199
Odometer,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Virtual Digitizer Channels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Control Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Data Logging,Immediately with Start Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Interval,00:00:00:20.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Data Logging,Immediately with Stop Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unstrained Infomation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channels,Offset,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Date/Time:,5/14/2025 12:36:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Temperature:,30.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Calibration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL Date/Time:,5/14/2025 12:22:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL Temperature:,31.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Sweep Time (Sec),Scan Number,102 (°C)- T_reg_in,103- Phi_reg_in,104 (°C)- T_RL_III,105 (°C)- T_VL_III,106 (°C)- T_proc_in,107- Phi_proc_in,108 (°C)- T_proc_out,109- Phi_proc_out,111 (Vdc),112 (°C)- T_reg_out,113- Phi_reg_out,121- V_dot_III,,,,,,,,,,,,,,,,
2026-06-18 17:58:44.388,1,-40.0002125,9.09550682E-05,52.5124239,58.7877233,21.5401266,38.2292236,29.8695632,13.1956283,0.00412568938,-40.0004365,3.99853003E-06,0.100850519,,,,,,,,,,,,,,,,
2026-06-18 17:59:04.398,2,-40.0002258,0.000121380665,52.5006662,58.7875141,21.5680448,38.1871306,29.9085064,13.144634,0.00265671655,-40.00038,4.81891809E-05,0.093423812,,,,,,,,,,,,,,,,
2026-06-18 17:59:24.406,3,-40.0002816,0.000139144249,52.4947725,58.7898271,21.5927201,38.1243843,29.8513204,13.1597777,0.000217709959,-40.0003908,3.56880296E-05,0.0934935993,,,,,,,,,,,,,,,,
2026-06-18 17:59:44.414,4,-40.0003619,0.000111062619,52.4736136,58.7855598,21.5894764,38.1074692,29.8837181,13.2017468,0.00370254258,-40.0004087,2.26353568E-05,0.0897398355,,,,,,,,,,,,,,,,
2026-06-18 18:00:04.440,5,-40.0002799,0.000138362927,52.4540952,58.7847171,21.5758309,38.0414484,29.883568,13.2266761,0.000695428471,-40.0003489,5.00965257E-06,0.102574178,,,,,,,,,,,,,,,,
2026-06-18 18:00:24.388,6,-40.0003668,0.000160423783,52.4390927,58.7849024,21.6048714,38.0385675,29.8875319,13.1929267,0.000342495861,-40.0003368,1.63158409E-05,0.102847672,,,,,,,,,,,,,,,,
2026-06-18 18:00:44.389,7,-40.0003842,0.000124437012,52.4169558,58.7870061,21.6268946,38.0729516,29.8509317,13.1460008,0.00202867531,-40.0003604,1.84070262E-05,0.0894865012,,,,,,,,,,,,,,,,
2026-06-18 18:01:04.427,8,-40.0003567,0.000163181389,52.4300435,58.7856375,21.6324908,37.9530487,29.8716019,13.0855487,-0.00172183813,-40.000296,2.74152088E-05,0.0936755538,,,,,,,,,,,,,,,,
2026-06-18 18:01:24.389,9,-40.0004403,8.27282076E-05,52.4310993,58.7806112,21.5916063,37.8239111,29.8701601,13.144919,-0.00277537275,-40.0002627,6.8940173E-07,0.0780546469,,,,,,,,,,,,,,,,
2026-06-18 18:01:44.389,10,-40.0004366,9.51144587E-05,52.4334019,58.7835696,21.600295,37.7766232,29.8807576,13.1188576,0.000534216228,-40.0003127,2.00386103E-05,0.088340599,,,,,,,,,,,,,,,,
2026-06-18 18:02:04.388,11,-40.0003365,0.000106098926,52.4184233,58.7800554,21.6079625,37.6842,29.9580362,13.0504278,0.00281381707,-40.0003719,7.67533926E-06,0.087536039,,,,,,,,,,,,,,,,
2026-06-18 18:02:24.395,12,-40.0003228,0.000160469743,52.4094099,58.7808981,21.6260718,37.6477601,29.8861067,12.9834524,0.00105867372,-40.000326,1.29147924E-05,0.0826934689,,,,,,,,,,,,,,,,
2026-06-18 18:02:44.389,13,-40.0003185,0.000114877308,52.407173,58.7776767,21.5927654,37.7105466,29.9070807,12.9583608,0.0027131706,-40.000403,-2.18770149E-05,0.0924992994,,,,,,,,,,,,,,,,
2026-06-18 18:03:04.434,14,-40.0002378,8.03153015E-05,52.4192524,58.7806709,21.5758599,37.6825756,29.9155768,12.9228866,-0.00159171319,-40.0002986,3.81009356E-05,0.087199726,,,,,,,,,,,,,,,,
2026-06-18 18:03:24.411,15,-40.0003516,7.62708114E-05,52.438007,58.779882,21.5920257,37.6800892,29.9053188,12.8839123,0.00438263885,-40.0004189,-1.84070262E-05,0.0888085154,,,,,,,,,,,,,,,,
2026-06-18 18:03:44.397,16,-40.000264,0.000119955901,52.450701,58.7783102,21.6111923,37.596288,29.8795387,12.8488918,-0.00293689756,-40.0002762,5.09697679E-05,0.0868441488,,,,,,,,,,,,,,,,
2026-06-18 18:04:04.395,17,-40.0001983,8.26822475E-05,52.4603289,58.7797326,21.5971658,37.5931407,29.8797104,12.7927988,0.000321392532,-40.0002959,3.24478414E-05,0.0940224877,,,,,,,,,,,,,,,,
2026-06-18 18:04:24.425,18,-40.0002736,0.000133697975,52.4628403,58.778352,21.6167028,37.5483065,29.8952996,12.7458238,-0.000941950378,-40.0002771,-4.18237049E-06,0.0962754689,,,,,,,,,,,,,,,,
2026-06-18 18:04:44.403,19,-40.0004179,0.000112510362,52.460144,58.7776348,21.6330493,37.5743979,29.9221827,12.7504968,0.00370587976,-40.0004062,-4.05827818E-05,0.0973318171,,,,,,,,,,,,,,,,
2026-06-18 18:05:04.389,20,-40.0002852,0.000102146356,52.4476826,58.7726623,21.6389938,37.5480413,29.8636707,12.7675033,0.00443823562,-40.0004736,-1.19036699E-05,0.0934044633,,,,,,,,,,,,,,,,
2026-06-18 18:05:24.389,21,-40.0002767,0.000100307952,52.4299361,58.7721722,21.6054249,37.5302896,29.9051101,12.7744475,-0.00360256026,-40.0002181,-2.58295848E-05,0.0922201668,,,,,,,,,,,,,,,,
2026-06-18 18:05:44.422,22,-40.0004529,0.000135191679,52.416926,58.7747302,21.5827889,37.5632133,29.8911518,12.7747589,0.0037387184,-40.0003889,-3.57339897E-05,0.0852150026,,,,,,,,,,,,,,,,
2026-06-18 18:06:04.421,23,-40.0003529,0.00013955789,52.3911864,58.7708992,21.5938727,37.4822581,29.8898264,12.7328313,-0.00339146952,-40.000239,-1.60860404E-05,0.085089603,,,,,,,,,,,,,,,,
2026-06-18 18:06:24.417,24,-40.0003783,9.32990341E-05,52.3839328,58.7718495,21.606392,37.4452634,29.8736021,12.7319372,-0.000767290567,-40.0002481,1.01571855E-05,0.0932379512,,,,,,,,,,,,,,,,
2026-06-18 18:06:44.461,25,-40.0003042,0.000120438482,52.3977122,58.7720228,21.5624943,37.4013444,29.887138,12.766553,0.00524289257,-40.000416,-1.78095447E-05,0.0923480086,,,,,,,,,,,,,,,,
2026-06-18 18:07:04.404,26,-40.0002337,0.000123081189,52.3987681,58.7728297,21.5480826,37.3221631,29.90787,12.7942723,0.00108098827,-40.0003511,1.53276985E-05,0.0890731973,,,,,,,,,,,,,,,,
2026-06-18 18:07:24.398,27,-40.0003935,0.000158056837,52.4048943,58.7710367,21.5878798,37.3309671,29.9754319,12.7246253,0.00381295008,-40.0004719,-2.66568669E-06,0.0860156972,,,,,,,,,,,,,,,,
2026-06-18 18:07:44.423,28,-40.0002591,0.000106443627,52.3937633,58.7685803,21.5900062,37.2639943,29.9663465,12.703083,-0.00183271909,-40.0002998,4.86487821E-05,0.0917489477,,,,,,,,,,,,,,,,
2026-06-18 18:08:04.401,29,-40.0003055,0.000134065656,52.3893849,58.7685325,21.5919497,37.2096372,29.9577236,12.677693,-0.00237304199,-40.0002138,3.7871135E-05,0.0824792829,,,,,,,,,,,,,,,,
2026-06-18 18:08:24.443,30,-40.0004033,0.000152334802,52.4063736,58.7679827,21.6065214,37.217506,29.9312451,12.6596775,-0.000750303559,-40.0002582,-1.2753932E-05,0.0906823993,,,,,,,,,,,,,,,,
2026-06-18 18:08:44.427,31,-40.0003803,0.000124735753,52.4338552,58.7657474,21.6123725,37.2191268,29.9505946,12.570647,0.00475012454,-40.0004223,-2.41750207E-05,0.0910694896,,,,,,,,,,,,,,,,
2026-06-18 18:09:04.428,32,-40.000341,6.82967314E-05,52.4392001,58.7647972,21.6046375,37.219968,29.9187423,12.5722553,-0.00211523755,-40.0002553,4.87636824E-05,0.0931117867,,,,,,,,,,,,,,,,
2026-06-18 18:09:24.388,33,-40.0003411,8.56236949E-05,52.4488637,58.7662375,21.6067202,37.1332636,29.9117652,12.5217882,-0.00195214527,-40.0002026,1.37880346E-05,0.0847638125,,,,,,,,,,,,,,,,
2026-06-18 18:09:44.401,34,-40.000405,0.000142177617,52.4567915,58.7656817,21.6089827,37.1049259,29.9054528,12.4944839,-8.13749149E-05,-40.0002678,8.50262134E-06,0.0921085924,,,,,,,,,,,,,,,,
2026-06-18 18:10:04.388,35,-40.0003972,0.00013146891,52.4449267,58.7646238,21.6104711,37.0448884,29.9442532,12.4779568,0.00024382826,-40.0003089,4.55005142E-06,0.085316497,,,,,,,,,,,,,,,,
2026-06-18 18:10:24.420,36,-40.0003783,0.000108580772,52.4296796,58.7634943,21.6243632,37.0749438,29.9598689,12.4107123,0.00406808157,-40.0004593,-2.81965308E-05,0.0812857696,,,,,,,,,,,,,,,,
2026-06-18 18:10:44.388,37,-40.0002871,0.000114946248,52.4124999,58.7640859,21.5815506,37.0809492,29.9444725,12.4492777,-0.003610239,-40.0002417,-2.7116468E-06,0.0962555519,,,,,,,,,,,,,,,,
2026-06-18 18:11:04.389,38,-40.0003747,0.000117726835,52.396382,58.763303,21.5801716,37.0358355,29.9320026,12.4989986,0.0020731803,-40.0003421,-6.41143609E-06,0.097470329,,,,,,,,,,,,,,,,
2026-06-18 18:11:24.389,39,-40.0002848,0.000123862511,52.3927075,58.7602191,21.5793003,37.0078849,29.9440553,12.4960505,0.00440196097,-40.0004567,2.11646331E-05,0.0878017234,,,,,,,,,,,,,,,,
2026-06-18 18:11:44.388,40,-40.0002872,7.43175065E-05,52.3820538,58.7595019,21.5886826,36.9808397,29.9484601,12.4332282,-0.00349327205,-40.0002537,5.35665144E-05,0.0947700067,,,,,,,,,,,,,,,,
2026-06-18 18:12:04.388,41,-40.0003853,4.75457393E-05,52.3826324,58.7578584,21.566066,36.9852672,29.9209554,12.4380099,0.00185606101,-40.0004021,2.38762799E-05,0.0887705882,,,,,,,,,,,,,,,,
2026-06-18 18:12:24.389,42,-40.0003016,0.000145785486,52.407859,58.7585815,21.6046981,36.9274832,29.9305969,12.4926871,0.0045813048,-40.0004474,-3.67910723E-05,0.0928560048,,,,,,,,,,,,,,,,
2026-06-18 18:12:44.389,43,-40.0002784,8.37852902E-05,52.4185545,58.7579659,21.5836182,36.9298974,29.9545967,12.5491205,-0.00328090343,-40.0002105,4.01461607E-05,0.097030776,,,,,,,,,,,,,,,,
2026-06-18 18:13:04.388,44,-40.0003692,0.00011942736,52.4079663,58.7578763,21.584911,36.9011622,30.0222266,12.5004773,0.00488580686,-40.0004477,-3.18503599E-05,0.0982880887,,,,,,,,,,,,,,,,
2026-06-18 18:13:24.389,45,-40.0002353,0.000150634278,52.4040174,58.7551151,21.6045961,36.88084,29.9982889,12.4318023,-0.00213881848,-40.0002759,1.23862511E-05,0.0939096349,,,,,,,,,,,,,,,,
2026-06-18 18:13:44.391,46,-40.0004249,0.000118485177,52.426357,58.7562806,21.6013798,36.8875656,29.9816797,12.444704,-0.00195188555,-40.0002399,8.69335581E-05,0.102473713,,,,,,,,,,,,,,,,
2026-06-18 18:14:04.389,47,-40.0003782,9.6837963E-05,52.4212746,58.7561132,21.6460173,36.8696655,29.964156,12.4568408,0.00203597023,-40.0003008,5.60943208E-05,0.0932772743,,,,,,,,,,,,,,,,
2026-06-18 18:14:24.389,48,-40.0002836,9.31151937E-05,52.442475,58.7552645,21.6099855,36.8273321,29.9614067,12.3721924,0.00252150998,-40.0003697,-1.17428095E-05,0.0894324568,,,,,,,,,,,,,,,,
2026-06-18 18:14:44.389,49,-40.0002671,9.30692335E-05,52.4588436,58.7542844,21.62126,36.7362461,29.9441592,12.3114854,0.00445901259,-40.0004436,-3.38955851E-05,0.0825527825,,,,,,,,,,,,,,,,
2026-06-18 18:15:04.388,50,-40.0002592,0.000158700278,52.4751944,58.7539856,21.6171818,36.749966,29.9294126,12.3118127,0.00175292544,-40.0003901,6.81128909E-05,0.0838809942,,,,,,,,,,,,,,,,
2026-06-18 18:15:24.389,51,-40.0002601,7.75576946E-05,52.4529678,58.7491147,21.6229038,36.6965085,29.9340164,12.2933212,-0.00379230865,-40.0003079,2.29570776E-05,0.0906000516,,,,,,,,,,,,,,,,
2026-06-18 18:15:44.388,52,-40.0003527,8.51640937E-05,52.4509993,58.7541947,21.6385998,36.6958272,29.9192433,12.2317232,0.0020923898,-40.0003475,1.32135332E-05,0.102191838,,,,,,,,,,,,,,,,
2026-06-18 18:16:04.427,53,-40.0002768,0.000148956734,52.4354479,58.7547027,21.6193188,36.6458282,29.9263441,12.2227503,0.000943936145,-40.000348,3.46309469E-05,0.0819274098,,,,,,,,,,,,,,,,
2026-06-18 18:16:24.388,54,-40.0003583,0.000116531872,52.4196223,58.7558801,21.6410283,36.5691588,29.9130849,12.2642008,0.000634118036,-40.0003638,8.2498407E-06,0.0888057947,,,,,,,,,,,,,,,,
2026-06-18 18:16:44.389,55,-40.0002554,0.000102445097,52.4075011,58.7542067,21.6464082,36.5872954,29.9262487,12.298654,-0.00128585742,-40.0002905,1.66835219E-05,0.0885250229,,,,,,,,,,,,,,,,
2026-06-18 18:17:04.410,56,-40.0003694,0.000102422117,52.3861101,58.7526468,21.6246652,36.5769559,29.9325953,12.2444144,0.00309486919,-40.0003793,5.3014993E-05,0.101429996,,,,,,,,,,,,,,,,
2026-06-18 18:17:24.389,57,-40.0003018,0.000127033759,52.4043753,58.7517683,21.6384594,36.6339513,29.9550851,12.1936094,-0.00157077074,-40.0002573,-3.35508842E-06,0.0800164347,,,,,,,,,,,,,,,,
2026-06-18 18:17:44.388,58,-40.0004012,7.75347146E-05,52.4186977,58.7511288,21.5691055,36.6196676,29.973587,12.1655026,0.00368751835,-40.0003897,1.46153167E-05,0.0838104093,,,,,,,,,,,,,,,,
2026-06-18 18:18:04.389,59,-40.0003186,4.60060754E-05,52.4279914,58.7503339,21.5957891,36.5906363,29.9799516,12.2344541,-0.00182111479,-40.0002511,2.81735507E-05,0.0891685562,,,,,,,,,,,,,,,,
2026-06-18 18:18:24.407,60,-40.000364,0.000193147385,52.4406436,58.7435804,21.6070146,36.5184659,29.9980345,12.1770345,0.000648275792,-40.0002604,4.29727078E-06,0.0959951943,,,,,,,,,,,,,,,,
2026-06-18 18:18:44.388,61,-40.0003869,0.000101273114,52.4277648,58.7464193,21.6363603,36.464559,29.9855021,12.1363746,0.00382741811,-40.0004788,-1.03180459E-05,0.0897541579,,,,,,,,,,,,,,,,
2026-06-18 18:19:04.389,62,-40.0002533,0.000108649713,52.4207557,58.7444888,21.5728697,36.3958236,30.0028334,12.1414886,0.00331902829,-40.0004474,2.48184623E-05,0.0943447843,,,,,,,,,,,,,,,,
2026-06-18 18:19:24.401,63,-40.0002461,0.000172810034,52.4376849,58.7437478,21.5666746,36.4578887,29.9454387,12.1594366,0.000413013433,-40.0003746,1.22713508E-05,0.0845336869,,,,,,,,,,,,,,,,
2026-06-18 18:19:44.389,64,-40.0003142,0.000116784653,52.4499494,58.7427975,21.5830519,36.4016851,29.9776445,12.1381259,-0.00156208303,-40.0003014,5.85531869E-05,0.0915053465,,,,,,,,,,,,,,,,
2026-06-18 18:20:04.420,65,-40.000303,0.000164146552,52.4731364,58.7423253,21.5806133,36.3362348,29.9769139,12.1376816,-0.00273107001,-40.0002276,4.95220243E-05,0.0887630979,,,,,,,,,,,,,,,,
2026-06-18 18:20:24.440,66,-40.000377,0.000160653583,52.4858007,58.7443335,21.6037519,36.4065773,29.9690469,12.1368237,0.00451675141,-40.0004043,-1.1558969E-05,0.0961429449,,,,,,,,,,,,,,,,
2026-06-18 18:20:44.444,67,-40.00028,0.000157114654,52.4882703,58.7434848,21.6514172,36.3501193,29.9051761,12.131059,0.00290675262,-40.0004162,3.44700865E-07,0.0928381475,,,,,,,,,,,,,,,,
2026-06-18 18:21:04.412,68,-40.0002759,0.000150978979,52.473876,58.7446203,21.6312212,36.3019909,29.9335326,12.0840237,-0.00170710808,-40.0002872,2.73003085E-05,0.0827925019,,,,,,,,,,,,,,,,
2026-06-18 18:21:24.435,69,-40.0004303,0.000150105737,52.4579667,58.7434549,21.6493575,36.1589759,29.9109619,12.0797849,-0.00228462957,-40.0002407,6.08971528E-06,0.0972132467,,,,,,,,,,,,,,,,
2026-06-18 18:21:44.412,70,-40.0003431,0.000100836493,52.4436442,58.740365,21.6387191,36.209844,29.8926683,12.1359087,-0.00114325021,-40.0002563,7.61788912E-05,0.097906888,,,,,,,,,,,,,,,,
2026-06-18 18:22:04.388,71,-40.0003395,0.000124092311,52.4269535,58.7394088,21.6548615,36.2287883,29.9230864,12.1907562,0.00312707349,-40.0003611,-2.34166788E-05,0.0923603614,,,,,,,,,,,,,,,,
2026-06-18 18:22:24.389,72,-40.0003558,4.54085939E-05,52.4046795,58.7368269,21.6352836,36.1844202,29.8894442,12.1966618,7.39329002E-05,-40.0003242,2.17161545E-05,0.095128892,,,,,,,,,,,,,,,,
2026-06-18 18:22:44.388,73,-40.0003597,0.000163962711,52.390059,58.7376756,21.6349664,36.105237,29.9020416,12.138891,0.00302082367,-40.0003737,1.34433337E-05,0.0905942385,,,,,,,,,,,,,,,,
2026-06-18 18:23:04.389,74,-40.0003405,0.000142384437,52.3901485,58.7367373,21.6508599,36.1097634,29.89478,12.1428917,-0.00106951267,-40.0003175,8.96222249E-06,0.0878943096,,,,,,,,,,,,,,,,
2026-06-18 18:23:24.389,75,-40.000347,5.60943208E-05,52.3965192,58.7341315,21.6724101,36.0526496,29.9078647,12.2507146,-1.43967821E-05,-40.0003402,1.57413395E-05,0.089179158,,,,,,,,,,,,,,,,
2026-06-18 18:23:44.402,76,-40.000339,0.000100905433,52.3987383,58.7318127,21.7073052,35.943338,29.8992487,12.2897857,0.00186367081,-40.0003478,-2.46576019E-05,0.0941808374,,,,,,,,,,,,,,,,
2026-06-18 18:24:04.389,77,-40.0003574,7.88445778E-05,52.395183,58.7330139,21.7035731,35.8752058,29.9420192,12.2310229,0.000880922643,-40.0003598,-1.18117496E-05,0.0976198005,,,,,,,,,,,,,,,,
2026-06-18 18:24:24.389,78,-40.000259,0.000126918858,52.3833721,58.7342092,21.6780592,35.8286853,29.9164141,12.1834268,-0.00286987806,-40.0002341,1.88206672E-05,0.0871358993,,,,,,,,,,,,,,,,
2026-06-18 18:24:44.389,79,-40.000379,0.000111981821,52.3815825,58.7345917,21.6772286,35.8799847,29.9098424,12.2241902,-0.00128092059,-40.0002199,3.20801605E-05,0.088516123,,,,,,,,,,,,,,,,
2026-06-18 18:25:04.396,80,-40.0004187,8.38542304E-05,52.3911625,58.7325239,21.6979376,35.831515,29.892597,12.2010845,-0.000673768942,-40.0002559,1.55804791E-05,0.0870633803,,,,,,,,,,,,,,,,
2026-06-18 18:25:24.393,81,-40.0003399,0.000122552648,52.4112293,58.7327211,21.6790843,35.8735264,29.8663421,12.1947993,-0.000755571347,-40.0002534,2.2704297E-05,0.0944607896,,,,,,,,,,,,,,,,
2026-06-18 18:25:44.405,82,-40.0003407,0.000108098191,52.4189423,58.7328287,21.6728725,35.8712682,29.8689668,12.1934154,0.00257608859,-40.000348,2.57836247E-05,0.107276185,,,,,,,,,,,,,,,,
2026-06-18 18:26:04.420,83,-40.0002785,0.000164077612,52.4423378,58.7307727,21.692659,35.8848684,29.8602099,12.1993925,0.00411236363,-40.0004465,-6.03226514E-05,0.089616389,,,,,,,,,,,,,,,,
2026-06-18 18:26:24.401,84,-40.0003101,9.62404815E-05,52.4390748,58.7301333,21.6927369,35.7989742,29.856852,12.197654,-0.003571273,-40.0002455,5.18889702E-05,0.0984171488,,,,,,,,,,,,,,,,
2026-06-18 18:26:44.388,85,-40.0004313,0.000112004801,52.4366589,58.7277845,21.6844831,35.8194004,29.8407036,12.1605986,0.00390724395,-40.0004142,-8.6864618E-06,0.0918956411,,,,,,,,,,,,,,,,
2026-06-18 18:27:04.432,86,-40.0002148,9.38965156E-05,52.4466089,58.7262306,21.6636162,35.7647227,29.7968163,12.1881876,0.00257472338,-40.0004022,2.03603311E-05,0.0912005329,,,,,,,,,,,,,,,,
2026-06-18 18:27:24.389,87,-40.000236,8.43368116E-05,52.4235533,58.7264936,21.6751842,35.8301376,29.7927188,12.2398317,0.00398342233,-40.0004398,1.53966386E-05,0.0912201904,,,,,,,,,,,,,,,,
2026-06-18 18:27:44.428,88,-40.0002591,0.000136179822,52.4058726,58.7232543,21.656256,35.8475335,29.7957907,12.2796932,0.000250927822,-40.0003218,2.12335733E-05,0.0884772096,,,,,,,,,,,,,,,,
2026-06-18 18:28:04.389,89,-40.0003186,0.000151139839,52.3821134,58.7232722,21.6920451,35.7659054,29.8105987,12.2138231,-0.00278230913,-40.000228,6.52633638E-06,0.0882418719,,,,,,,,,,,,,,,,
2026-06-18 18:28:24.389,90,-40.0003286,0.000112395462,52.3659301,58.7232543,21.7086016,35.7076156,29.7989517,12.1918477,0.00223052215,-40.0003779,3.89282177E-05,0.0867905935,,,,,,,,,,,,,,,,
2026-06-18 18:28:44.389,91,-40.000274,0.000122736488,52.3613251,58.7244078,21.7299769,35.6549799,29.7675002,12.2011231,-0.00252162487,-40.0002563,4.72010384E-05,0.090258663,,,,,,,,,,,,,,,,
